[2026-05-04 10:31:19] Received on robot/coral: {'frame': 21045, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.401239, 'ymin': 0.482332, 'xmax': 0.648761, 'ymax': 0.626634}]}
[2026-05-04 10:31:19] Received on robot/coral: {'frame': 21046, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.401239, 'ymin': 0.482332, 'xmax': 0.648761, 'ymax': 0.626634}]}
[2026-05-04 10:31:19] Received on robot/coral: {'frame': 21047, 'bboxes': [{'id': 1, 'score': 0.902344, 'xmin': 0.380723, 'ymin': 0.476575, 'xmax': 0.628244, 'ymax': 0.632391}]}
[2026-05-04 10:31:19] Received on robot/coral: {'frame': 21048, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.3809, 'ymin': 0.49259, 'xmax': 0.610132, 'ymax': 0.636893}]}
[2026-05-04 10:31:19] Received on robot/coral: {'frame': 21049, 'bboxes': [{'id': 1, 'score': 0.902344, 'xmin': 0.371756, 'ymin': 0.486834, 'xmax': 0.619277, 'ymax': 0.642649}]}
[2026-05-04 10:31:19] Received on robot/coral: {'frame': 21050, 'bboxes': [{'id': 1, 'score': 0.902344, 'xmin': 0.351239, 'ymin': 0.49259, 'xmax': 0.598761, 'ymax': 0.636893}]}
[2026-05-04 10:31:19] Received on robot/coral: {'frame': 21051, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.360384, 'ymin': 0.486834, 'xmax': 0.589616, 'ymax': 0.642649}]}
[2026-05-04 10:31:19] Received on robot/coral: {'frame': 21052, 'bboxes': [{'id': 1, 'score': 0.902344, 'xmin': 0.351239, 'ymin': 0.49259, 'xmax': 0.598761, 'ymax': 0.636893}]}
[2026-05-04 10:31:19] Received on robot/coral: {'frame': 21053, 'bboxes': [{'id': 1, 'score': 0.902344, 'xmin': 0.330723, 'ymin': 0.49259, 'xmax': 0.578244, 'ymax': 0.636893}]}
[2026-05-04 10:31:19] Received on robot/coral: {'frame': 21054, 'bboxes': [{'id': 1, 'score': 0.949219, 'xmin': 0.330723, 'ymin': 0.486834, 'xmax': 0.578244, 'ymax': 0.642649}]}
[2026-05-04 10:31:20] Received on robot/coral: {'frame': 21055, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.3309, 'ymin': 0.49259, 'xmax': 0.560132, 'ymax': 0.636893}]}
[2026-05-04 10:31:20] Received on robot/coral: {'frame': 21056, 'bboxes': [{'id': 1, 'score': 0.949219, 'xmin': 0.321756, 'ymin': 0.49259, 'xmax': 0.569277, 'ymax': 0.636893}]}
[2026-05-04 10:31:20] Received on robot/coral: {'frame': 21057, 'bboxes': [{'id': 1, 'score': 0.902344, 'xmin': 0.301239, 'ymin': 0.486834, 'xmax': 0.548761, 'ymax': 0.642649}]}
[2026-05-04 10:31:20] Received on robot/coral: {'frame': 21058, 'bboxes': [{'id': 1, 'score': 0.949219, 'xmin': 0.321756, 'ymin': 0.486834, 'xmax': 0.569277, 'ymax': 0.642649}]}
[2026-05-04 10:31:20] Received on robot/coral: {'frame': 21059, 'bboxes': [{'id': 1, 'score': 0.902344, 'xmin': 0.310384, 'ymin': 0.486834, 'xmax': 0.539616, 'ymax': 0.642649}]}
[2026-05-04 10:31:20] Received on robot/coral: {'frame': 21061, 'bboxes': [{'id': 1, 'score': 0.902344, 'xmin': 0.280723, 'ymin': 0.502849, 'xmax': 0.528244, 'ymax': 0.647151}, {'id': 1, 'score': 0.675781, 'xmin': 0.0, 'ymin': 0.558952, 'xmax': 1.0, 'ymax': 0.923113}]}
[2026-05-04 10:31:20] Received on robot/coral: {'frame': 21062, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.289868, 'ymin': 0.502849, 'xmax': 0.5191, 'ymax': 0.647151}]}
[2026-05-04 10:31:20] Received on robot/coral: {'frame': 21063, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.271756, 'ymin': 0.502849, 'xmax': 0.519277, 'ymax': 0.647151}]}
[2026-05-04 10:31:21] Received on robot/coral: {'frame': 21064, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.2809, 'ymin': 0.486834, 'xmax': 0.510132, 'ymax': 0.642649}]}
[2026-05-04 10:31:21] Received on robot/coral: {'frame': 21065, 'bboxes': [{'id': 1, 'score': 0.902344, 'xmin': 0.2809, 'ymin': 0.502849, 'xmax': 0.510132, 'ymax': 0.647151}]}
[2026-05-04 10:31:21] Received on robot/coral: {'frame': 21066, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.2809, 'ymin': 0.497092, 'xmax': 0.510132, 'ymax': 0.652908}]}
[2026-05-04 10:31:21] Received on robot/coral: {'frame': 21067, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.2809, 'ymin': 0.49259, 'xmax': 0.510132, 'ymax': 0.636893}]}
